Kecamatan,Jumlah_Penduduk_Miskin,Tingkat_Pengangguran,Pendapatan_Rata_Rata,Kepadatan_Penduduk,Akses_Fasilitas_Publik,Jumlah_KK_Penerima_Bansos,IPM
Ilir Timur I,3240,4.2,3850000,7850,88,1420,79.8
Ilir Timur II,4120,4.8,3600000,6900,84,1850,78.2
Ilir Timur III,3890,4.5,3720000,7100,85,1680,78.9
Ilir Barat I,4560,5.1,3450000,6400,82,2100,77.5
Ilir Barat II,6780,6.4,2850000,8200,73,3400,74.1
Seberang Ulu I,11450,8.7,2150000,9400,58,6200,71.2
Seberang Ulu II,10200,8.2,2250000,9100,61,5800,71.8
Bukit Kecil,2850,3.9,4100000,8100,91,1150,81.4
Gandus,12800,9.3,1950000,3200,52,6900,69.5
Kertapati,14200,9.8,1850000,4100,48,7600,68.8
Plaju,7650,6.9,2650000,5400,69,3900,73.5
Sako,5890,5.8,3100000,4800,77,2850,76.2
Sematang Borang,8240,7.3,2450000,2900,62,4250,72.4
Sukarami,6950,6.1,3050000,5100,76,3300,75.8
Alang-Alang Lebar,6120,5.6,3250000,4300,78,2900,76.5
Kalidoni,5420,5.3,3380000,4600,80,2650,77.1
Kemuning,3980,4.6,3680000,7600,86,1790,78.6
Jakabaring,8950,7.6,2380000,4900,66,4700,72.9
