Kecamatan,Jumlah_Penduduk_Miskin,Tingkat_Pengangguran,Pendapatan_Rata_Rata,Kepadatan_Penduduk,Akses_Fasilitas_Publik,Jumlah_KK_Penerima_Bansos,IPM
Ilir Timur I,3050,3.9,4150000,7920,90,1310,80.6
Ilir Timur II,3890,4.4,3850000,6980,86,1720,79.1
Ilir Timur III,3620,4.1,3980000,7180,87,1550,79.7
Ilir Barat I,4280,4.7,3720000,6490,84,1950,78.4
Ilir Barat II,6350,5.9,3100000,8290,75,3180,75.0
Seberang Ulu I,10820,8.1,2380000,9520,61,5850,72.1
Seberang Ulu II,9650,7.7,2490000,9210,64,5420,72.8
Bukit Kecil,2610,3.5,4420000,8180,93,1020,82.2
Gandus,11950,8.7,2180000,3280,55,6480,70.4
Kertapati,13350,9.1,2050000,4180,51,7150,69.8
Plaju,7180,6.3,2910000,5480,72,3620,74.4
Sako,5450,5.2,3380000,4890,80,2620,77.1
Sematang Borang,7680,6.8,2680000,2980,65,3950,73.2
Sukarami,6420,5.6,3320000,5190,79,3080,76.7
Alang-Alang Lebar,5680,5.1,3520000,4380,81,2690,77.4
Kalidoni,5020,4.8,3650000,4680,83,2450,78.0
Kemuning,3680,4.2,3920000,7690,88,1620,79.5
Jakabaring,8350,7.1,2610000,4980,69,4350,73.8
